organ,dose_gy,volume_pct
PTV_68,99.335,20.000
PTV_68,99.841,20.000
PTV_68,100.348,20.000
PTV_68,100.855,20.000
PTV_68,101.362,10.000
Bladder,0.000,100.000
Bladder,0.122,100.000
Bladder,0.244,100.000
Bladder,0.366,100.000
Bladder,0.488,100.000
Bladder,0.611,100.000
Bladder,0.733,100.000
Bladder,0.855,100.000
Bladder,0.977,100.000
Bladder,1.099,100.000
Bladder,1.221,100.000
Bladder,1.343,100.000
Bladder,1.465,100.000
Bladder,1.588,100.000
Bladder,1.710,100.000
Bladder,1.832,100.000
Bladder,1.954,100.000
Bladder,2.076,100.000
Bladder,2.198,100.000
Bladder,2.320,100.000
Bladder,2.442,100.000
Bladder,2.564,100.000
Bladder,2.687,100.000
Bladder,2.809,100.000
Bladder,2.931,100.000
Bladder,3.053,100.000
Bladder,3.175,100.000
Bladder,3.297,100.000
Bladder,3.419,100.000
Bladder,3.541,100.000
Bladder,3.664,100.000
Bladder,3.786,100.000
Bladder,3.908,100.000
Bladder,4.030,100.000
Bladder,4.152,100.000
Bladder,4.274,100.000
Bladder,4.396,100.000
Bladder,4.518,100.000
Bladder,4.641,100.000
Bladder,4.763,100.000
Bladder,4.885,100.000
Bladder,5.007,100.000
Bladder,5.129,100.000
Bladder,5.251,100.000
Bladder,5.373,100.000
Bladder,5.495,100.000
Bladder,5.617,100.000
Bladder,5.740,100.000
Bladder,5.862,100.000
Bladder,5.984,100.000
Bladder,6.106,100.000
Bladder,6.228,100.000
Bladder,6.350,100.000
Bladder,6.472,100.000
Bladder,6.594,100.000
Bladder,6.717,100.000
Bladder,6.839,100.000
Bladder,6.961,100.000
Bladder,7.083,100.000
Bladder,7.205,100.000
Bladder,7.327,100.000
Bladder,7.449,100.000
Bladder,7.571,100.000
Bladder,7.693,100.000
Bladder,7.816,100.000
Bladder,7.938,100.000
Bladder,8.060,100.000
Bladder,8.182,100.000
Bladder,8.304,100.000
Bladder,8.426,100.000
Bladder,8.548,100.000
Bladder,8.670,100.000
Bladder,8.793,100.000
Bladder,8.915,100.000
Bladder,9.037,100.000
Bladder,9.159,100.000
Bladder,9.281,100.000
Bladder,9.403,100.000
Bladder,9.525,100.000
Bladder,9.647,100.000
Bladder,9.769,100.000
Bladder,9.892,100.000
Bladder,10.014,100.000
Bladder,10.136,100.000
Bladder,10.258,100.000
Bladder,10.380,100.000
Bladder,10.502,100.000
Bladder,10.624,100.000
Bladder,10.746,100.000
Bladder,10.869,100.000
Bladder,10.991,100.000
Bladder,11.113,100.000
Bladder,11.235,100.000
Bladder,11.357,100.000
Bladder,11.479,100.000
Bladder,11.601,100.000
Bladder,11.723,100.000
Bladder,11.845,100.000
Bladder,11.968,100.000
Bladder,12.090,100.000
Bladder,12.212,100.000
Bladder,12.334,100.000
Bladder,12.456,100.000
Bladder,12.578,100.000
Bladder,12.700,100.000
Bladder,12.822,100.000
Bladder,12.945,100.000
Bladder,13.067,100.000
Bladder,13.189,100.000
Bladder,13.311,100.000
Bladder,13.433,100.000
Bladder,13.555,100.000
Bladder,13.677,100.000
Bladder,13.799,100.000
Bladder,13.922,100.000
Bladder,14.044,100.000
Bladder,14.166,100.000
Bladder,14.288,100.000
Bladder,14.410,100.000
Bladder,14.532,100.000
Bladder,14.654,100.000
Bladder,14.776,100.000
Bladder,14.898,100.000
Bladder,15.021,100.000
Bladder,15.143,100.000
Bladder,15.265,100.000
Bladder,15.387,100.000
Bladder,15.509,100.000
Bladder,15.631,100.000
Bladder,15.753,100.000
Bladder,15.875,100.000
Bladder,15.998,100.000
Bladder,16.120,100.000
Bladder,16.242,100.000
Bladder,16.364,100.000
Bladder,16.486,100.000
Bladder,16.608,100.000
Bladder,16.730,100.000
Bladder,16.852,100.000
Bladder,16.974,100.000
Bladder,17.097,100.000
Bladder,17.219,100.000
Bladder,17.341,100.000
Bladder,17.463,100.000
Bladder,17.585,100.000
Bladder,17.707,100.000
Bladder,17.829,100.000
Bladder,17.951,100.000
Bladder,18.074,100.000
Bladder,18.196,100.000
Bladder,18.318,100.000
Bladder,18.440,100.000
Bladder,18.562,100.000
Bladder,18.684,80.000
Bladder,18.806,80.000
Bladder,18.928,80.000
Bladder,19.050,80.000
Bladder,19.173,80.000
Bladder,19.295,80.000
Bladder,19.417,80.000
Bladder,19.539,80.000
Bladder,19.661,80.000
Bladder,19.783,80.000
Bladder,19.905,80.000
Bladder,20.027,80.000
Bladder,20.150,80.000
Bladder,20.272,80.000
Bladder,20.394,80.000
Bladder,20.516,80.000
Bladder,20.638,80.000
Bladder,20.760,80.000
Bladder,20.882,80.000
Bladder,21.004,80.000
Bladder,21.126,60.000
Bladder,21.249,60.000
Bladder,21.371,60.000
Bladder,21.493,60.000
Bladder,21.615,60.000
Bladder,21.737,60.000
Bladder,21.859,60.000
Bladder,21.981,60.000
Bladder,22.103,60.000
Bladder,22.226,60.000
Bladder,22.348,60.000
Bladder,22.470,60.000
Bladder,22.592,60.000
Bladder,22.714,60.000
Bladder,22.836,60.000
Bladder,22.958,60.000
Bladder,23.080,60.000
Bladder,23.203,60.000
Bladder,23.325,60.000
Bladder,23.447,60.000
Bladder,23.569,60.000
Bladder,23.691,60.000
Bladder,23.813,60.000
Bladder,23.935,60.000
Bladder,24.057,40.000
Bladder,24.179,20.000
Bladder,24.302,20.000
Bladder,24.424,20.000
Rectum,0.000,100.000
Rectum,0.096,100.000
Rectum,0.191,100.000
Rectum,0.287,100.000
Rectum,0.383,100.000
Rectum,0.479,100.000
Rectum,0.574,100.000
Rectum,0.670,100.000
Rectum,0.766,100.000
Rectum,0.862,100.000
Rectum,0.957,100.000
Rectum,1.053,100.000
Rectum,1.149,100.000
Rectum,1.245,100.000
Rectum,1.340,100.000
Rectum,1.436,100.000
Rectum,1.532,100.000
Rectum,1.628,100.000
Rectum,1.723,100.000
Rectum,1.819,100.000
Rectum,1.915,100.000
Rectum,2.011,100.000
Rectum,2.106,100.000
Rectum,2.202,100.000
Rectum,2.298,100.000
Rectum,2.394,100.000
Rectum,2.489,100.000
Rectum,2.585,100.000
Rectum,2.681,100.000
Rectum,2.776,100.000
Rectum,2.872,100.000
Rectum,2.968,100.000
Rectum,3.064,100.000
Rectum,3.159,100.000
Rectum,3.255,100.000
Rectum,3.351,100.000
Rectum,3.447,100.000
Rectum,3.542,100.000
Rectum,3.638,100.000
