eval,angles_deg,objective,cached,ronda,tenure,prohibido,aceptado
184,102;240;271;305,94354.188608,true,23,3,False,True
185,102;240;271;315,92821.153032,true,23,3,False,True
186,97;240;271;310,96579.637329,true,24,3,False,True
187,107;240;271;310,94734.937766,true,24,3,False,True
188,102;235;271;310,92603.183115,true,24,3,False,True
189,102;245;271;310,93380.071309,true,24,3,True,False
190,102;240;266;310,94227.881169,true,24,3,True,False
191,102;240;276;310,94451.311264,true,24,3,False,False
192,102;240;271;305,94354.188608,true,24,3,False,False
193,102;240;271;315,92821.153032,true,24,3,True,False
194,97;240;271;310,96579.637329,true,25,3,False,True
195,107;240;271;310,94734.937766,true,25,3,False,True
196,102;235;271;310,92603.183115,true,25,3,True,False
197,102;245;271;310,93380.071309,true,25,3,False,True
198,102;240;266;310,94227.881169,true,25,3,True,False
199,102;240;276;310,94451.311264,true,25,3,False,False
200,102;240;271;305,94354.188608,true,25,3,False,False
201,102;240;271;315,92821.153032,true,25,3,True,False
202,97;240;271;310,96579.637329,true,26,3,False,True
203,107;240;271;310,94734.937766,true,26,3,False,True
204,102;235;271;310,92603.183115,true,26,3,True,False
205,102;245;271;310,93380.071309,true,26,3,True,False
206,102;240;266;310,94227.881169,true,26,3,False,True
207,102;240;276;310,94451.311264,true,26,3,False,False
208,102;240;271;305,94354.188608,true,26,3,False,False
209,102;240;271;315,92821.153032,true,26,3,True,False
210,97;240;271;310,96579.637329,true,27,3,False,True
211,107;240;271;310,94734.937766,true,27,3,False,True
212,102;235;271;310,92603.183115,true,27,3,True,False
213,102;245;271;310,93380.071309,true,27,3,True,False
214,102;240;266;310,94227.881169,true,27,3,True,False
215,102;240;276;310,94451.311264,true,27,3,False,True
216,102;240;271;305,94354.188608,true,27,3,False,True
217,102;240;271;315,92821.153032,true,27,3,False,True
218,97;240;271;310,96579.637329,true,28,3,False,True
219,107;240;271;310,94734.937766,true,28,3,False,True
220,102;235;271;310,92603.183115,true,28,3,False,True
221,102;245;271;310,93380.071309,true,28,3,True,False
222,102;240;266;310,94227.881169,true,28,3,True,False
223,102;240;276;310,94451.311264,true,28,3,False,False
224,102;240;271;305,94354.188608,true,28,3,False,False
225,102;240;271;315,92821.153032,true,28,3,True,False
226,97;240;271;310,96579.637329,true,29,3,False,True
227,107;240;271;310,94734.937766,true,29,3,False,True
228,102;235;271;310,92603.183115,true,29,3,True,False
229,102;245;271;310,93380.071309,true,29,3,False,True
230,102;240;266;310,94227.881169,true,29,3,True,False
231,102;240;276;310,94451.311264,true,29,3,False,False
232,102;240;271;305,94354.188608,true,29,3,False,False
233,102;240;271;315,92821.153032,true,29,3,True,False
234,97;240;271;310,96579.637329,true,30,3,False,True
235,107;240;271;310,94734.937766,true,30,3,False,True
236,102;235;271;310,92603.183115,true,30,3,True,False
237,102;245;271;310,93380.071309,true,30,3,True,False
238,102;240;266;310,94227.881169,true,30,3,False,True
239,102;240;276;310,94451.311264,true,30,3,False,False
240,102;240;271;305,94354.188608,true,30,3,False,False
241,102;240;271;315,92821.153032,true,30,3,True,False
